Date,Amount,Category,Description
2023-09-13,-321.4,Rent,UNKNOWN VENDOR
2023-07-12,312.37,Uncategorized,OFFICE DEPOT
2023-01-16,918.43,,UBER EATS
2023-01-12,-21.03,Groceries,AWS CLOUD
2023-05-30,2986.32,Rent,UBER EATS
2023-08-24,186.47,Uncategorized,DELTA AIRLINES
2023-03-29,-439.95,,DELTA AIRLINES
2023-07-30,993.33,,OFFICE DEPOT
2023-03-17,571.42,Software,AWS CLOUD
2023-07-16,256.12,Uncategorized,PAYROLL
2023-11-30,797.17,Travel,UBER EATS
2023-01-16,873.27,Uncategorized,PAYROLL
2023-04-23,-379.07,Groceries,AWS CLOUD
2023-12-23,914.24,Groceries,UNKNOWN VENDOR
2023-01-20,-102.36,,STARBUCKS
2023-06-30,900.55,Software,OFFICE DEPOT
2023-07-27,-399.23,Groceries,UNKNOWN VENDOR
2023-07-14,203.55,,DELTA AIRLINES
2023-05-07,483.52,Travel,UBER EATS
2023-12-07,-7468.97,Software,UBER EATS
2023-08-26,323.63,Uncategorized,PAYROLL
2023-12-21,175.17,Groceries,UBER EATS
2023-07-05,-269.62,,UNKNOWN VENDOR
2023-11-22,237.3,,PAYROLL
2023-12-12,-17741.22,Uncategorized,UBER EATS
2023-07-07,401.94,Travel,UBER EATS
2023-08-13,835.15,Groceries,AWS CLOUD
2023-12-27,553.25,Groceries,STARBUCKS
2023-11-08,-435.59,Software,UNKNOWN VENDOR
2023-07-16,672.08,,UNKNOWN VENDOR
2023-08-23,-118.65,Travel,AWS CLOUD
2023-08-23,327.75,,OFFICE DEPOT
2023-10-07,135.6,Rent,UBER EATS
2023-07-20,-475.01,Groceries,UNKNOWN VENDOR
2023-10-31,-137.22,Groceries,DELTA AIRLINES
2023-01-12,644.15,Rent,OFFICE DEPOT
2023-02-22,-205.18,Software,STARBUCKS
2023-05-24,-261.94,,AWS CLOUD
2023-12-19,-272.98,Uncategorized,PAYROLL
2023-05-17,529.36,Uncategorized,UNKNOWN VENDOR
2023-05-12,-290.87,,UBER EATS
2023-02-12,-118.6,Rent,STARBUCKS
2023-02-15,675.99,Groceries,UNKNOWN VENDOR
2023-09-26,964.86,Travel,AWS CLOUD
2023-12-24,11.34,Software,UNKNOWN VENDOR
2023-07-28,-367.91,Uncategorized,PAYROLL
2023-12-22,835.91,Groceries,UBER EATS
2023-04-05,881.18,Groceries,UNKNOWN VENDOR
2023-07-21,516.36,Rent,AWS CLOUD
2023-03-12,724.47,Groceries,STARBUCKS
2023-09-03,604.33,Rent,OFFICE DEPOT
2023-02-11,-198.56,Uncategorized,OFFICE DEPOT
2023-03-01,-391.25,Rent,AWS CLOUD
2023-02-28,85.3,Travel,UBER EATS
2023-05-20,365.1,Rent,OFFICE DEPOT
2023-10-20,-388.46,Uncategorized,PAYROLL
2023-09-22,-160.53,,OFFICE DEPOT
2023-07-29,-184.59,Groceries,OFFICE DEPOT
2023-06-13,-164.44,Rent,STARBUCKS
2023-11-26,36.09,Software,PAYROLL
2023-08-09,118.76,,STARBUCKS
2023-07-31,-123.1,Uncategorized,STARBUCKS
2023-09-09,261.03,Groceries,OFFICE DEPOT
2023-09-05,987.93,Software,UNKNOWN VENDOR
2023-10-17,812.76,,PAYROLL
2023-04-27,657.43,,UNKNOWN VENDOR
2023-11-02,433.66,,UNKNOWN VENDOR
2023-07-10,-390.72,Groceries,OFFICE DEPOT
2023-08-26,-450.67,Software,UBER EATS
2023-01-07,966.4,Groceries,AWS CLOUD
2023-07-07,986.36,Software,DELTA AIRLINES
2023-07-30,-72.11,Travel,STARBUCKS
2023-10-27,632.44,Software,OFFICE DEPOT
2023-07-20,699.69,Software,UNKNOWN VENDOR
2023-12-29,789.74,Groceries,UNKNOWN VENDOR
2023-07-24,-432.22,Rent,STARBUCKS
2023-01-05,149.31,,STARBUCKS
2023-08-04,524.07,,UBER EATS
2023-01-26,911.27,Uncategorized,PAYROLL
2023-07-01,154.01,Travel,DELTA AIRLINES
2023-02-14,854.58,Rent,AWS CLOUD
2023-05-25,-38.54,,UNKNOWN VENDOR
2023-04-10,-17891.12,Travel,DELTA AIRLINES
2023-03-08,-14.02,Uncategorized,PAYROLL
2023-11-13,-459.41,Uncategorized,OFFICE DEPOT
2023-09-07,666.11,Rent,STARBUCKS
2023-01-02,675.28,Travel,UNKNOWN VENDOR
2023-12-14,5.41,,UBER EATS
2023-07-11,854.37,,DELTA AIRLINES
2023-05-22,-424.92,,STARBUCKS
2023-08-31,510.26,Rent,OFFICE DEPOT
2023-05-19,213.93,Rent,AWS CLOUD
2023-04-28,-387.49,Rent,UNKNOWN VENDOR
2023-03-02,8780.58,,UBER EATS
2023-08-04,-441.3,,STARBUCKS
2023-11-05,17018.67,Groceries,PAYROLL
2023-10-17,611.63,Travel,AWS CLOUD
2023-09-20,595.38,,DELTA AIRLINES
2023-01-29,575.5,Software,OFFICE DEPOT
2023-06-07,405.34,Travel,PAYROLL
2023-06-02,-378.94,Groceries,OFFICE DEPOT
2023-09-01,12969.88,Software,STARBUCKS
2023-04-21,-491.03,,STARBUCKS
2023-01-06,613.13,Travel,STARBUCKS
2023-09-30,338.2,,UNKNOWN VENDOR
2023-04-15,792.71,Travel,DELTA AIRLINES
2023-01-15,128.73,Groceries,AWS CLOUD
2023-08-12,-399.53,Uncategorized,UNKNOWN VENDOR
2023-05-11,-150.2,Travel,OFFICE DEPOT
2023-11-12,-289.87,Uncategorized,UBER EATS
2023-05-01,-212.96,Rent,AWS CLOUD
2023-04-28,306.19,Travel,UBER EATS
2023-02-13,-338.86,,AWS CLOUD
2023-08-11,832.35,Uncategorized,STARBUCKS
2023-09-17,-280.04,Travel,STARBUCKS
2023-01-23,362.57,Rent,UNKNOWN VENDOR
2023-09-20,-14.23,Rent,DELTA AIRLINES
2023-01-22,318.97,,STARBUCKS
2023-10-10,326.98,Travel,UBER EATS
2023-10-29,-424.62,Travel,UNKNOWN VENDOR
2023-01-09,734.89,Rent,STARBUCKS
2023-05-30,706.61,Travel,OFFICE DEPOT
2023-10-01,105.86,,AWS CLOUD
2023-12-30,-32.79,,STARBUCKS
2023-04-23,-252.59,Rent,STARBUCKS
2023-02-27,-49.07,Groceries,OFFICE DEPOT
2023-04-23,535.64,Software,STARBUCKS
2023-05-08,-320.16,Rent,UBER EATS
2023-06-27,405.08,Uncategorized,DELTA AIRLINES
2023-03-01,303.7,Groceries,UBER EATS
2023-03-10,-74.44,Groceries,STARBUCKS
2023-02-19,-20.92,Software,AWS CLOUD
2023-02-02,606.58,Rent,AWS CLOUD
2023-10-30,-258.3,Uncategorized,STARBUCKS
2023-11-20,496.55,Travel,OFFICE DEPOT
2023-03-17,496.04,Uncategorized,AWS CLOUD
2023-07-26,-15.47,,UBER EATS
2023-04-02,389.89,,UNKNOWN VENDOR
2023-11-16,894.7,Groceries,OFFICE DEPOT
2023-03-29,-167.41,Uncategorized,STARBUCKS
2023-07-04,-199.7,Rent,UNKNOWN VENDOR
2023-07-31,-257.49,Travel,PAYROLL
2023-02-15,593.78,Software,DELTA AIRLINES
2023-01-03,591.25,Groceries,OFFICE DEPOT
2023-06-19,911.13,Uncategorized,PAYROLL
2023-08-03,-322.66,Groceries,PAYROLL
2023-01-31,-66.68,Groceries,AWS CLOUD
2023-12-20,13.84,,UNKNOWN VENDOR
2023-09-01,-90.75,Rent,STARBUCKS
2023-05-16,-4967.52,Uncategorized,UBER EATS
2023-04-27,553.2,Uncategorized,UNKNOWN VENDOR
2023-01-10,662.99,,UNKNOWN VENDOR
2023-05-04,69.54,Travel,AWS CLOUD
2023-05-02,708.98,Groceries,PAYROLL
2023-09-12,617.49,Travel,OFFICE DEPOT
2023-08-21,-228.08,Travel,PAYROLL
2023-11-15,-184.31,Groceries,AWS CLOUD
2023-04-15,18432.87,Software,AWS CLOUD
2023-12-12,886.42,,DELTA AIRLINES
2023-03-02,998.53,Uncategorized,STARBUCKS
2023-03-02,-252.36,Groceries,AWS CLOUD
2023-01-05,-382.43,Uncategorized,AWS CLOUD
2023-07-18,-309.41,Rent,DELTA AIRLINES
2023-09-17,238.61,Uncategorized,AWS CLOUD
2023-04-17,-56.7,Software,OFFICE DEPOT
2023-05-23,-327.52,,OFFICE DEPOT
2023-10-29,843.32,Travel,DELTA AIRLINES
2023-04-13,-3159.68,Software,UNKNOWN VENDOR
2023-06-01,673.42,Software,UBER EATS
2023-07-01,212.81,Rent,UBER EATS
2023-03-09,749.46,Rent,UBER EATS
2023-11-25,-469.69,Groceries,UBER EATS
2023-02-08,211.04,Rent,OFFICE DEPOT
2023-10-15,-7.92,Groceries,UBER EATS
2023-02-17,269.79,Software,UBER EATS
2023-01-03,-269.17,Travel,DELTA AIRLINES
2023-04-08,-2718.59,Travel,DELTA AIRLINES
2023-01-29,230.19,Groceries,PAYROLL
2023-04-20,-99.74,Travel,AWS CLOUD
2023-07-05,639.27,,DELTA AIRLINES
2023-07-16,17.85,Uncategorized,OFFICE DEPOT
2023-09-14,740.78,Software,OFFICE DEPOT
2023-07-25,-246.92,Groceries,DELTA AIRLINES
2023-12-25,-107.48,Uncategorized,UNKNOWN VENDOR
2023-03-05,-267.54,Rent,STARBUCKS
2023-10-15,338.56,Rent,DELTA AIRLINES
2023-10-07,861.6,Rent,AWS CLOUD
2023-01-30,331.29,Rent,OFFICE DEPOT
2023-11-12,9492.11,,AWS CLOUD
2023-05-24,34.52,Groceries,STARBUCKS
2023-05-28,114.16,Software,STARBUCKS
2023-01-17,-483.0,Uncategorized,DELTA AIRLINES
2023-02-02,14.36,,PAYROLL
2023-10-29,-91.91,Rent,UBER EATS
2023-08-05,608.8,Groceries,PAYROLL
2023-04-12,822.38,Groceries,UNKNOWN VENDOR
2023-05-20,-390.52,Rent,DELTA AIRLINES
2023-05-20,-456.78,Groceries,UBER EATS
2023-01-17,757.96,Software,OFFICE DEPOT
2023-06-25,-271.87,,UNKNOWN VENDOR
2023-05-25,-26.09,Software,OFFICE DEPOT
2023-04-04,129.15,Software,UNKNOWN VENDOR
2023-03-08,-69.67,,DELTA AIRLINES
2023-02-24,-302.29,Software,PAYROLL
2023-09-03,153.62,Rent,UNKNOWN VENDOR
2023-03-29,-454.31,Rent,AWS CLOUD
2023-09-21,-267.25,,UNKNOWN VENDOR
2023-04-22,604.31,Travel,STARBUCKS
2023-06-17,675.17,Uncategorized,DELTA AIRLINES
2023-06-24,971.58,Software,UNKNOWN VENDOR
2023-03-22,-93.9,Travel,DELTA AIRLINES
2023-10-04,970.74,Groceries,STARBUCKS
2023-11-19,-344.13,Groceries,PAYROLL
2023-12-31,989.17,Uncategorized,OFFICE DEPOT
2023-11-08,932.87,Software,STARBUCKS
2023-10-17,654.56,Travel,UNKNOWN VENDOR
2023-09-12,112.66,Uncategorized,PAYROLL
2023-03-15,928.9,,OFFICE DEPOT
2023-12-01,46.15,Travel,OFFICE DEPOT
2023-12-21,-267.86,Software,PAYROLL
2023-10-16,988.57,Groceries,AWS CLOUD
2023-10-20,-227.31,Rent,STARBUCKS
2023-11-26,-12776.73,Groceries,PAYROLL
2023-01-15,812.61,Uncategorized,DELTA AIRLINES
2023-07-17,-88.49,,STARBUCKS
2023-02-02,990.23,Groceries,UNKNOWN VENDOR
2023-05-28,117.33,Uncategorized,PAYROLL
2023-08-22,979.23,Groceries,DELTA AIRLINES
2023-10-23,335.35,Rent,STARBUCKS
2023-11-10,-448.69,Software,DELTA AIRLINES
2023-04-26,954.78,,PAYROLL
2023-06-30,276.07,Uncategorized,UNKNOWN VENDOR
2023-11-29,424.03,Uncategorized,UBER EATS
2023-11-11,953.79,Software,PAYROLL
2023-08-05,-1393.84,Rent,AWS CLOUD
2023-08-25,854.9,Uncategorized,DELTA AIRLINES
2023-01-17,-476.59,Travel,OFFICE DEPOT
2023-05-04,532.22,,UBER EATS
2023-01-01,-99.1,Rent,OFFICE DEPOT
2023-03-22,495.46,Groceries,STARBUCKS
2023-05-15,22.63,Uncategorized,STARBUCKS
2023-03-21,76.56,Software,UNKNOWN VENDOR
2023-08-08,268.74,Uncategorized,AWS CLOUD
2023-07-07,-293.33,Uncategorized,PAYROLL
2023-06-24,-220.1,Rent,UNKNOWN VENDOR
2023-12-13,-272.84,Groceries,PAYROLL
2023-11-27,613.08,Software,OFFICE DEPOT
2023-02-21,863.73,Uncategorized,OFFICE DEPOT
2023-10-16,662.6,,DELTA AIRLINES
2023-06-04,934.88,Uncategorized,STARBUCKS
2023-03-02,-23.73,,UBER EATS
2023-09-30,-236.97,Travel,DELTA AIRLINES
2023-02-11,596.12,Software,OFFICE DEPOT
2023-10-01,-490.44,Uncategorized,UBER EATS
2023-08-31,-443.44,Software,STARBUCKS
2023-07-12,924.43,,PAYROLL
2023-01-18,-296.29,Groceries,UNKNOWN VENDOR
2023-11-19,-344.27,Groceries,UNKNOWN VENDOR
2023-07-01,-216.92,,AWS CLOUD
2023-07-01,274.33,Rent,UNKNOWN VENDOR
2023-05-03,-158.96,Uncategorized,STARBUCKS
2023-03-25,464.24,Software,PAYROLL
2023-06-21,-404.89,Groceries,AWS CLOUD
2024-01-01,580.98,Rent,AWS CLOUD
2023-08-22,-115.8,Rent,STARBUCKS
2023-02-18,545.99,Rent,OFFICE DEPOT
2023-11-07,-352.23,Uncategorized,UNKNOWN VENDOR
2023-07-27,-458.4,Rent,UNKNOWN VENDOR
2023-02-21,631.19,Uncategorized,UBER EATS
2023-07-21,298.75,Travel,UNKNOWN VENDOR
2024-01-01,308.4,Groceries,AWS CLOUD
2023-09-28,859.04,Groceries,DELTA AIRLINES
2023-03-31,42.29,,OFFICE DEPOT
2023-04-07,253.55,Rent,STARBUCKS
2023-12-25,721.57,Uncategorized,STARBUCKS
2023-01-25,506.98,Rent,DELTA AIRLINES
2023-01-26,-404.44,,PAYROLL
2023-03-06,130.18,Uncategorized,UBER EATS
2023-09-09,769.33,Software,AWS CLOUD
2023-11-24,-396.01,,UNKNOWN VENDOR
2023-01-06,582.25,Groceries,UBER EATS
2023-05-22,-17.14,Rent,AWS CLOUD
2023-07-06,-471.66,Uncategorized,STARBUCKS
2023-04-18,-470.16,Rent,PAYROLL
2023-01-30,510.23,Uncategorized,OFFICE DEPOT
2023-09-14,-1422.65,Software,UBER EATS
2023-05-03,-400.96,Rent,DELTA AIRLINES
2023-04-16,671.19,Uncategorized,STARBUCKS
2023-03-03,530.92,,PAYROLL
2023-10-19,350.77,Groceries,AWS CLOUD
2023-12-04,-429.4,,AWS CLOUD
2023-12-15,740.87,Travel,OFFICE DEPOT
2023-06-08,-188.25,Travel,AWS CLOUD
2023-07-06,-151.72,Software,OFFICE DEPOT
2023-11-13,600.27,Software,AWS CLOUD
2023-12-01,-411.53,Groceries,DELTA AIRLINES
2023-01-18,622.49,Travel,PAYROLL
2023-01-03,-53.01,Groceries,UBER EATS
2023-05-02,805.42,Travel,AWS CLOUD
2023-01-03,226.02,Travel,AWS CLOUD
2023-01-10,2696.31,Rent,STARBUCKS
2023-10-13,479.4,Travel,AWS CLOUD
2023-05-09,466.0,Software,OFFICE DEPOT
2023-07-10,841.41,Software,PAYROLL
2023-11-26,815.54,Uncategorized,DELTA AIRLINES
2023-08-18,692.95,Software,OFFICE DEPOT
2023-07-04,564.33,Travel,PAYROLL
2023-05-16,11877.36,Software,STARBUCKS
2023-06-30,247.7,Software,AWS CLOUD
2023-01-01,316.31,,AWS CLOUD
2023-03-01,13006.26,Groceries,UBER EATS
2023-03-10,-498.3,,OFFICE DEPOT
2023-02-09,600.17,Uncategorized,STARBUCKS
2023-02-07,-488.24,,DELTA AIRLINES
2023-11-24,-6.49,Groceries,DELTA AIRLINES
2023-06-08,-68.53,Rent,OFFICE DEPOT
2023-12-25,546.3,Uncategorized,DELTA AIRLINES
2023-11-04,-448.66,Travel,UNKNOWN VENDOR
2023-01-15,401.31,Software,DELTA AIRLINES
2023-12-19,386.49,Rent,AWS CLOUD
2023-11-25,-318.11,,OFFICE DEPOT
2023-06-23,983.48,Travel,AWS CLOUD
2023-12-10,203.65,,UBER EATS
2023-10-29,7616.59,Rent,AWS CLOUD
2023-04-13,-14.72,Uncategorized,OFFICE DEPOT
2023-11-25,-460.86,Rent,DELTA AIRLINES
2023-08-03,-72.47,Software,STARBUCKS
2023-02-25,-322.47,Groceries,UNKNOWN VENDOR
2023-08-12,-1254.63,Rent,OFFICE DEPOT
2023-02-16,16920.01,Software,STARBUCKS
2023-11-09,-187.41,Groceries,OFFICE DEPOT
2023-06-09,-467.34,Rent,UBER EATS
2023-01-21,-193.16,Groceries,UBER EATS
2023-11-19,19955.27,Software,UBER EATS
2023-06-12,626.87,,AWS CLOUD
2023-10-31,668.69,Groceries,UNKNOWN VENDOR
2023-05-17,187.68,Travel,OFFICE DEPOT
2023-12-26,-321.39,,OFFICE DEPOT
2023-04-02,969.83,Uncategorized,PAYROLL
2023-07-12,-225.13,Rent,AWS CLOUD
2023-07-27,481.38,Software,STARBUCKS
2023-11-16,680.4,Rent,DELTA AIRLINES
2023-12-12,982.4,Rent,DELTA AIRLINES
2023-12-27,12789.22,Software,UNKNOWN VENDOR
2023-08-04,509.42,Rent,UBER EATS
2023-07-29,211.36,Uncategorized,OFFICE DEPOT
2023-07-26,229.84,Rent,STARBUCKS
2023-08-03,272.89,Travel,STARBUCKS
2023-10-24,-351.0,,PAYROLL
2023-04-24,719.6,Uncategorized,UNKNOWN VENDOR
2023-06-11,-184.4,Groceries,DELTA AIRLINES
2023-06-07,-318.41,Software,UBER EATS
2023-10-07,-61.32,,UBER EATS
2023-09-10,873.83,Groceries,DELTA AIRLINES
2023-11-21,-189.24,Groceries,DELTA AIRLINES
2023-05-19,-159.65,Uncategorized,PAYROLL
2023-07-11,953.07,Groceries,OFFICE DEPOT
2023-06-29,831.53,Uncategorized,OFFICE DEPOT
2023-10-06,-14.27,,STARBUCKS
2023-12-29,617.78,,UNKNOWN VENDOR
2023-01-31,113.09,Software,AWS CLOUD
2023-06-16,304.88,,STARBUCKS
2023-08-31,-231.02,Software,UNKNOWN VENDOR
2023-12-15,153.86,,UNKNOWN VENDOR
2023-02-01,-382.25,Software,DELTA AIRLINES
2023-10-20,585.15,Uncategorized,AWS CLOUD
2023-05-12,729.91,,UNKNOWN VENDOR
2023-12-13,857.08,Rent,UNKNOWN VENDOR
2023-03-09,824.56,Software,DELTA AIRLINES
2023-09-12,-217.58,Travel,UNKNOWN VENDOR
2023-11-24,-87.23,Groceries,AWS CLOUD
2023-10-11,-176.11,Travel,AWS CLOUD
2023-07-15,487.47,,DELTA AIRLINES
2023-10-18,-63.37,Travel,DELTA AIRLINES
2023-12-06,-196.74,,UNKNOWN VENDOR
2023-08-03,181.92,Rent,PAYROLL
2023-09-17,980.82,Groceries,PAYROLL
2023-06-17,612.47,Software,AWS CLOUD
2023-09-19,-6894.67,Groceries,PAYROLL
2023-10-24,737.09,Rent,STARBUCKS
2023-07-23,568.53,Uncategorized,AWS CLOUD
2023-04-24,683.05,Software,PAYROLL
2023-09-06,897.21,Groceries,UNKNOWN VENDOR
2023-02-06,627.56,Uncategorized,DELTA AIRLINES
2023-11-12,2644.23,Groceries,UBER EATS
2023-04-10,811.14,Software,DELTA AIRLINES
2023-08-05,-274.51,Software,UBER EATS
2023-04-14,366.88,,PAYROLL
2023-07-28,-13.81,Travel,PAYROLL
2023-08-04,292.74,Software,PAYROLL
2023-07-24,-190.79,Rent,PAYROLL
2023-02-19,275.6,Software,UNKNOWN VENDOR
2023-02-14,502.8,Uncategorized,UBER EATS
2023-03-18,-219.04,,OFFICE DEPOT
2023-01-26,115.1,,OFFICE DEPOT
2023-01-16,636.22,Groceries,OFFICE DEPOT
2023-01-19,-1304.8,Rent,UNKNOWN VENDOR
2023-03-05,-90.41,,AWS CLOUD
2023-05-18,-411.5,Groceries,UBER EATS
2023-07-31,391.31,Uncategorized,STARBUCKS
2023-01-06,673.25,Uncategorized,DELTA AIRLINES
2023-05-19,396.07,Travel,UBER EATS
2023-02-01,179.88,Uncategorized,UNKNOWN VENDOR
2023-01-24,-367.5,,UNKNOWN VENDOR
2023-06-29,-21.13,Software,AWS CLOUD
2023-06-12,-458.92,Groceries,OFFICE DEPOT
2023-05-27,295.07,Groceries,UBER EATS
2023-02-26,191.28,Travel,AWS CLOUD
2023-12-18,426.47,Uncategorized,STARBUCKS
2023-06-17,808.96,Rent,UBER EATS
2023-05-22,661.08,Software,STARBUCKS
2023-06-12,440.93,Travel,UNKNOWN VENDOR
2023-07-08,777.64,Uncategorized,STARBUCKS
2023-09-15,12717.67,Groceries,OFFICE DEPOT
2023-08-01,-97.63,Rent,PAYROLL
2023-08-01,-46.37,Travel,PAYROLL
2023-11-13,904.14,Groceries,STARBUCKS
2023-04-28,788.42,Uncategorized,PAYROLL
2023-07-30,-288.61,Travel,UBER EATS
2023-01-30,100.81,Software,AWS CLOUD
2023-07-06,688.35,Software,DELTA AIRLINES
2023-03-19,87.51,,UNKNOWN VENDOR
2023-10-09,614.37,,PAYROLL
2023-08-09,40.21,,DELTA AIRLINES
2023-01-29,507.79,,OFFICE DEPOT
2023-10-21,557.28,,AWS CLOUD
2023-01-08,-461.48,Rent,DELTA AIRLINES
2023-10-13,571.75,Groceries,UBER EATS
2023-11-11,225.84,Rent,AWS CLOUD
2023-10-12,251.89,Travel,STARBUCKS
2023-08-03,130.81,,AWS CLOUD
2023-04-06,-401.99,Groceries,DELTA AIRLINES
2023-07-22,-398.74,Uncategorized,DELTA AIRLINES
2023-12-14,-16047.49,Rent,DELTA AIRLINES
2023-12-05,-269.73,Rent,UNKNOWN VENDOR
2023-07-07,501.52,Travel,DELTA AIRLINES
2023-02-08,-451.37,Travel,UBER EATS
2023-01-21,-364.58,Software,UNKNOWN VENDOR
2023-03-06,247.36,Rent,DELTA AIRLINES
2023-01-08,-461.48,Rent,DELTA AIRLINES
2023-10-13,571.75,Groceries,UBER EATS
2023-11-11,225.84,Rent,AWS CLOUD
2023-10-12,251.89,Travel,STARBUCKS
2023-08-03,130.81,,AWS CLOUD
2023-04-06,-401.99,Groceries,DELTA AIRLINES
